Gene,Sample,Mean,SD,CV,Range
cheD,Y3,1674.7804391217564,51.847349947772514,0.030957699729858866,172
cheW,M1,1195.6050955414012,56.67684708288571,0.047404320451830254,229
cheW,M2,1477.0467091295118,26.67044632607853,0.01805660319421895,143
cheW,M3,462.7261146496815,17.72254657208138,0.03830029473374046,71
cheW,Y1,1210.2229299363057,54.45516587175741,0.044995979273523924,190
cheW,Y2,1226.8407643312103,30.460475168645374,0.02482838527561508,106
cheW,Y3,1707.904458598726,25.78952041154168,0.015100095489358374,111
cheY,M1,1008.2148760330579,54.37376377382849,0.05393072951647825,155
cheY,M2,1309.7382920110192,47.27123270313151,0.03609212083930872,187
cheY,M3,392.71625344352617,37.527366592702755,0.09555847577899983,111
cheY,Y1,1089.8980716253443,67.69874013717391,0.06211474439643339,232
cheY,Y2,1175.2396694214876,46.57407065469991,0.0396294235690887,166
cheY,Y3,1590.3085399449035,56.11839899599239,0.03528774296712047,188
citH,M1,8334.070257611242,11.98213764366399,0.0014377293775176762,80
citH,M2,8739.956284153006,9.28698484071628,0.0010625893927587633,75
citH,M3,8638.727556596408,219.16148070054015,0.025369648396098753,753
citH,Y1,8438.626854020296,9.987321502695531,0.001183524485140306,72
citH,Y2,8990.597970335675,16.305385295271144,0.001813604094974604,77
citH,Y3,9248.984387197503,10.758197737072923,0.0011631761160678876,74
clpC,M1,10151.069461570078,16.38021287298338,0.0016136440534660504,105
clpC,M2,10654.765721331689,32.27051100324876,0.0030287396126074013,144
clpC,M3,10090.539251952323,21.392752913925012,0.0021200802434603217,90
clpC,Y1,9890.81627620222,9.073459241540213,0.0009173620243428637,51
clpC,Y2,9480.30702836005,10.260618092544616,0.0010823086279642938,59
clpC,Y3,9662.258528565557,7.5145797304160595,0.0007777249706370319,47
comGA,M1,1948.0056022408965,38.19096098942583,0.019605159731313247,182
comGA,M2,4164.564892623716,63.0277734357177,0.01513429975538443,308
comGA,M3,2826.795518207283,69.9536710405129,0.02474663292408098,335
comGA,Y1,6412.841269841269,64.66417211270482,0.01008354478019154,343
comGA,Y2,8871.06629318394,12.09310814711785,0.0013632079557797418,64
comGA,Y3,7490.145658263305,50.13127884846119,0.006692964481025169,240
comGB,M1,1954.264403292181,27.42248786553166,0.014032127801814,137
comGB,M2,4085.622427983539,58.9721646278644,0.014434071103572373,223
comGB,M3,2829.6471193415637,47.88384893263764,0.016922198038524263,211
comGB,Y1,6451.700617283951,52.09782329621394,0.008075052825086942,216
comGB,Y2,8871.406378600823,10.821959616491036,0.001219869675071502,41
comGB,Y3,7479.541152263375,46.653988009913036,0.006237546804030235,223
comGC,M1,1960.5050505050506,11.217180720891651,0.005721577058932832,58
comGC,M2,4043.23569023569,10.616073624510108,0.0026256380873733508,48
comGC,M3,2799.6430976430975,21.428871055109617,0.007654143870391797,88
comGC,Y1,6415.767676767677,44.33079620556676,0.006909663572466051,145
comGC,Y2,8871.158249158249,6.625493936090343,0.0007468578228461894,24
comGC,Y3,7458.154882154882,47.59488657170252,0.006381589994273617,163
comGD,M1,1894.7847222222222,39.68960131851783,0.02094676025884855,126
comGD,M2,4014.247685185185,15.740389303256228,0.0039211305673406876,65
comGD,M3,2706.6481481481483,37.31121135908629,0.013785024619699503,131
comGD,Y1,6296.68287037037,75.02988659347085,0.01191577980630579,259
comGD,Y2,8854.643518518518,10.329277410063177,0.0011665379174735408,37
comGD,Y3,7397.3125,41.704930033452015,0.005637848885450224,145
comGE,M1,1867.971264367816,10.985150134104366,0.005880791821399944,48
comGE,M2,4006.692528735632,12.578525748814172,0.0031393788414264727,62
comGE,M3,2652.6609195402298,13.422849084236036,0.0050601450737105666,58
comGE,Y1,6255.698275862069,63.51485153800537,0.010153119402046717,230
comGE,Y2,8860.727011494253,6.11679459010227,0.0006903264915133355,24
comGE,Y3,7420.3448275862065,21.49744443558941,0.00289709507241086,83
comGF,M1,1884.9244791666667,21.462020002788346,0.01138614317973991,65
comGF,M2,3951.4114583333335,13.339999489485011,0.0033760087073067538,55
comGF,M3,2650.0052083333335,30.701204234864214,0.01158533731870403,88
comGF,Y1,6455.981770833333,116.7325262964461,0.018081297382811282,353
comGF,Y2,8871.5078125,10.288777703808222,0.0011597552435575022,34
comGF,Y3,7461.169270833333,14.926276390381876,0.002000527779034662,77
comGG,M1,1865.2933333333333,4.389990234641707,0.00235351199524027,19
comGG,M2,3926.888,7.210230402691238,0.0018361181685577074,30
comGG,M3,2641.3946666666666,16.8522669680012,0.006380063979332585,58
comGG,Y1,6394.28,45.81897652311396,0.0071656193540342245,172
comGG,Y2,8865.272,5.105898863917709,0.0005759438473988963,21
comGG,Y3,7535.4186666666665,43.10983576162103,0.005720960927137297,155
comK,M1,1471.0466321243523,224.38615126719898,0.15253503618927486,860
comK,M2,2180.2677029360966,272.99089781030233,0.12520980677862367,1220
comK,M3,1873.0863557858377,236.54289091532445,0.12628509635162274,875
comK,Y1,3878.012089810017,359.3599772918364,0.09266602810138257,1231
comK,Y2,2304.9257340241797,255.07213786120363,0.11066392903508959,932
comK,Y3,3411.7737478411054,252.73431815368403,0.07407710382718335,1002
comZ,M1,3209.2447916666665,1078.409215996185,0.3360320841826876,3588
comZ,M2,4406.166666666667,1291.6787904627215,0.29315250379302976,4554
comZ,M3,2396.21875,678.2149221992371,0.2830354792104173,2274
comZ,Y1,3452.234375,510.89032466699814,0.14798830820025022,1731
comZ,Y2,2385.4635416666665,433.1188714187065,0.18156591532566313,1512
comZ,Y3,3590.7395833333335,509.60331035261004,0.14192154527662465,1839
cotA,M1,4350.912451361868,30.712237285819608,0.00705880378636588,147
cotA,M2,4147.331387808042,44.02410451792133,0.010615043844178815,175
cotA,M3,3311.016212710765,32.995551532727625,0.009965385070015651,153
cotA,Y1,1678.0693904020752,64.19776780233649,0.03825692082194189,272
cotA,Y2,785.7211413748379,39.04042141271699,0.04968737552919208,219
cotA,Y3,910.1621271076524,48.88918901169604,0.0537148136091511,176
cotB,M1,8617.30271216098,18.10417561708746,0.002100909788342278,57
cotB,M2,10331.496062992126,10.37070052214514,0.0010037946546089726,40
cotB,M3,8342.927384076991,18.415732558680528,0.0022073466195844074,58
cotB,Y1,8210.354330708662,16.138506672035074,0.0019656285249070498,56
cotB,Y2,8295.924759405074,18.52388833302724,0.002232890108125287,61
cotB,Y3,8767.246719160104,14.496766509351804,0.0016535141503056256,65
cotC,M1,626.8258706467661,6.017850726229763,0.009600514286400585,18
cotC,M2,1981.313432835821,6.945233520675631,0.0035053684114658393,22
cotC,M3,1128.8756218905473,5.9715536283548865,0.005289824239763654,17
cotC,Y1,757.2537313432836,24.15616481371707,0.03189969730603602,67
cotC,Y2,626.1641791044776,20.873857105186893,0.03333607670601678,61
cotC,Y3,602.1592039800995,14.088453689570906,0.023396559575026458,47
cotD,M1,2781.8026315789475,228.62217179875228,0.08218490025260586,786
cotD,M2,3855.5526315789475,344.4606610303266,0.08934144957820513,1142
cotD,M3,3456.219298245614,207.577436695456,0.06005910469883171,687
cotD,Y1,3091.1140350877195,265.83111324920475,0.08599848152857324,826
cotD,Y2,8180.934210526316,7.378386449533207,0.0009019002304210588,32
cotD,Y3,3680.7412280701756,308.03259262056486,0.08368765244115445,989
cotE,M1,4095.846153846154,1131.9988403055322,0.276377285128872,4951
cotE,M2,6997.454212454212,1371.2633881027489,0.19596603942933222,5493
cotE,M3,6261.375457875458,1531.7289086514015,0.24463137835390744,6684
cotE,Y1,6722.8626373626375,1945.2856957212273,0.2893537769030423,6427
cotE,Y2,6802.622710622711,1858.2088565710917,0.27316065223922903,6569
cotE,Y3,6979.739926739927,1591.5248582537529,0.2280206533421822,6534
cotF,M1,216.56107660455487,28.004480533636933,0.129314468568023,106
cotF,M2,423.1925465838509,29.541134313538162,0.06980542202835066,125
cotF,M3,276.96894409937886,39.3332009030679,0.14201303698856144,175
cotF,Y1,2473.095238095238,390.1550378586554,0.1577598112069272,1508
